CIUDAD,AÑO,ED4,CV4,SA6
Ibagué,2011,NA,Seguro,Si
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,Muy satisfecho,Seguro,No
Ibagué,2011,NA,Nada seguro,Si
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,Algo satisfecho,Algo seguro,No
Ibagué,2011,Ni satisfecho ni insatisfecho,Nada seguro,No
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,Algo satisfecho,Seguro,No
Ibagué,2011,Muy satisfecho,Seguro,No
Ibagué,2011,Muy satisfecho,Seguro,No
Ibagué,2011,Muy satisfecho,Algo seguro,Si
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,NA,Nada seguro,Si
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,Algo satisfecho,Algo seguro,No
Ibagué,2011,NA,Nada seguro,No
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,Algo insatisfecho,Poco seguro,No
Ibagué,2011,Muy satisfecho,Seguro,Si
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,Algo satisfecho,Poco seguro,Si
Ibagué,2011,Muy satisfecho,Seguro,Si
Ibagué,2011,NA,Seguro,Si
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,Algo insatisfecho,Algo seguro,Si
Ibagué,2011,NA,Poco seguro,No
Ibagué,2011,NA,Poco seguro,No
Ibagué,2011,NA,Poco seguro,No
Ibagué,2011,NA,Poco seguro,Si
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,Muy satisfecho,Seguro,No
Ibagué,2011,Algo satisfecho,Seguro,Si
Ibagué,2011,Algo satisfecho,Nada seguro,No
Ibagué,2011,NA,Seguro,No
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,Muy satisfecho,Algo seguro,No
Ibagué,2011,Ni satisfecho ni insatisfecho,Algo seguro,No
Ibagué,2011,NA,Seguro,No
Ibagué,2011,Algo satisfecho,Poco seguro,Si
Ibagué,2011,NA,Nada seguro,No
Ibagué,2011,NA,Seguro,Si
Ibagué,2011,NA,Muy seguro,Si
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,Algo satisfecho,Algo seguro,No
Ibagué,2011,NA,Muy seguro,Si
Ibagué,2011,Muy satisfecho,Nada seguro,No
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,Muy satisfecho,Nada seguro,No
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,NA,Seguro,Si
Ibagué,2011,NA,Muy seguro,No
Ibagué,2011,Muy satisfecho,Seguro,No
Ibagué,2011,Algo satisfecho,Algo seguro,Si
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,NA,Seguro,Si
Ibagué,2011,Ni satisfecho ni insatisfecho,Algo seguro,Si
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,NA,Muy seguro,Si
Ibagué,2011,NA,Seguro,Si
Ibagué,2011,Algo satisfecho,Poco seguro,Si
Ibagué,2011,NA,Nada seguro,No
Ibagué,2011,Muy satisfecho,Poco seguro,Si
Ibagué,2011,NA,Nada seguro,No
Ibagué,2011,Ni satisfecho ni insatisfecho,Nada seguro,No
Ibagué,2011,Algo satisfecho,Nada seguro,Si
Ibagué,2011,Algo satisfecho,Nada seguro,No
Ibagué,2011,NA,Muy seguro,Si
Ibagué,2011,Muy satisfecho,Nada seguro,No
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,Muy satisfecho,Algo seguro,No
Ibagué,2011,NA,Nada seguro,Si
Ibagué,2011,Ni satisfecho ni insatisfecho,Poco seguro,No
Ibagué,2011,NA,Seguro,No
Ibagué,2011,NA,Poco seguro,No
Ibagué,2011,Algo satisfecho,Seguro,No
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,Ni satisfecho ni insatisfecho,Algo seguro,No
Ibagué,2011,NA,Nada seguro,No
Ibagué,2011,NA,Nada seguro,No
Ibagué,2011,NA,Poco seguro,Si
Ibagué,2011,NA,Nada seguro,No
Ibagué,2011,Muy satisfecho,Nada seguro,No
Ibagué,2011,Muy satisfecho,Algo seguro,Si
Ibagué,2011,NA,Poco seguro,No
Ibagué,2011,Muy satisfecho,Algo seguro,No
Ibagué,2011,NA,Seguro,Si
Ibagué,2011,Algo satisfecho,Muy seguro,Si
Ibagué,2011,Algo satisfecho,Algo seguro,No
Ibagué,2011,Algo satisfecho,Algo seguro,No
Ibagué,2011,Algo satisfecho,Poco seguro,No
Ibagué,2011,NA,Seguro,No
Ibagué,2011,Algo satisfecho,Seguro,No
Ibagué,2011,NA,Seguro,No
Ibagué,2011,Algo insatisfecho,Muy seguro,No
Ibagué,2011,Muy satisfecho,Muy seguro,Si
Ibagué,2011,NA,Seguro,No
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,Muy satisfecho,Poco seguro,No
Ibagué,2011,Ni satisfecho ni insatisfecho,Poco seguro,No
Ibagué,2011,NA,Poco seguro,No
Ibagué,2011,NA,Muy seguro,Si
Ibagué,2011,Muy satisfecho,Poco seguro,Si
Ibagué,2011,Algo satisfecho,Poco seguro,Si
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,Muy satisfecho,Muy seguro,Si
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,NA,Seguro,Si
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,Muy satisfecho,Algo seguro,Si
Ibagué,2011,NA,Muy seguro,No
Ibagué,2011,NA,Seguro,No
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,NA,Seguro,No
Ibagué,2011,Muy satisfecho,Algo seguro,No
Ibagué,2011,Algo satisfecho,Algo seguro,No
Ibagué,2011,Algo satisfecho,Poco seguro,Si
Ibagué,2011,Algo satisfecho,Nada seguro,No
Ibagué,2011,Algo satisfecho,Poco seguro,No
Ibagué,2011,Algo satisfecho,Seguro,Si
Ibagué,2011,Muy satisfecho,Algo seguro,Si
Ibagué,2011,Ni satisfecho ni insatisfecho,Algo seguro,No
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,Muy satisfecho,Muy seguro,Si
Ibagué,2011,Algo insatisfecho,Algo seguro,No
Ibagué,2011,Muy satisfecho,Poco seguro,No
Ibagué,2011,NA,Seguro,Si
Ibagué,2011,Muy insatisfecho,Nada seguro,No
Ibagué,2011,NA,Seguro,No
Ibagué,2011,Ni satisfecho ni insatisfecho,Muy seguro,No
Ibagué,2011,NA,Seguro,No
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,Algo satisfecho,Seguro,No
Ibagué,2011,NA,Poco seguro,No
Ibagué,2011,NA,Poco seguro,Si
Ibagué,2011,Ni satisfecho ni insatisfecho,Algo seguro,Si
Ibagué,2011,Muy satisfecho,Algo seguro,No
Ibagué,2011,Algo satisfecho,Nada seguro,No
Ibagué,2011,Algo satisfecho,Algo seguro,No
Ibagué,2011,Muy satisfecho,Algo seguro,No
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,NA,Seguro,No
Ibagué,2011,Ni satisfecho ni insatisfecho,Seguro,No
Ibagué,2011,Muy satisfecho,Seguro,No
Ibagué,2011,Algo insatisfecho,Algo seguro,No
Ibagué,2011,NA,Seguro,Si
Ibagué,2011,Muy satisfecho,Seguro,Si
Ibagué,2011,NA,Nada seguro,Si
Ibagué,2011,NA,Muy seguro,Si
Ibagué,2011,Muy insatisfecho,Muy seguro,No
Ibagué,2011,NA,Seguro,Si
Ibagué,2011,Muy satisfecho,Seguro,Si
Ibagué,2011,NA,Poco seguro,No
Ibagué,2011,Algo satisfecho,Algo seguro,No
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,NA,Nada seguro,No
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,NA,Nada seguro,No
Ibagué,2011,NA,Nada seguro,Si
Ibagué,2011,NA,Nada seguro,No
Ibagué,2011,Algo satisfecho,Seguro,No
Ibagué,2011,NA,Muy seguro,Si
Ibagué,2011,Muy satisfecho,Poco seguro,Si
Ibagué,2011,Algo satisfecho,Algo seguro,Si
Ibagué,2011,NA,Seguro,Si
Ibagué,2011,NA,Poco seguro,No
Ibagué,2011,NA,Seguro,Si
Ibagué,2011,NA,Seguro,No
Ibagué,2011,NA,Poco seguro,Si
Ibagué,2011,Muy insatisfecho,Muy seguro,Si
Ibagué,2011,Algo satisfecho,Algo seguro,Si
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,NA,Seguro,No
Ibagué,2011,Algo satisfecho,Muy seguro,No
Ibagué,2011,NA,Seguro,Si
Ibagué,2011,NA,Nada seguro,No
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,NA,Nada seguro,No
Ibagué,2011,NA,Seguro,Si
Ibagué,2011,Muy satisfecho,Algo seguro,No
Ibagué,2011,Algo satisfecho,Nada seguro,No
Ibagué,2011,Algo satisfecho,Algo seguro,No
Ibagué,2011,Muy satisfecho,Algo seguro,Si
Ibagué,2011,Muy insatisfecho,Algo seguro,No
Ibagué,2011,Muy satisfecho,Muy seguro,No
Ibagué,2011,Algo satisfecho,Muy seguro,No
Ibagué,2011,Muy satisfecho,Muy seguro,Si
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,Algo satisfecho,Algo seguro,No
Ibagué,2011,Muy satisfecho,Poco seguro,Si
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,Muy satisfecho,Muy seguro,Si
Ibagué,2011,NA,Seguro,No
Ibagué,2011,NA,Seguro,Si
Ibagué,2011,Ni satisfecho ni insatisfecho,Algo seguro,No
Ibagué,2011,NA,Poco seguro,No
Ibagué,2011,Muy satisfecho,Seguro,Si
Ibagué,2011,Algo satisfecho,Algo seguro,No
Ibagué,2011,Muy satisfecho,Algo seguro,No
Ibagué,2011,NA,Seguro,No
Ibagué,2011,Algo satisfecho,Muy seguro,No
Ibagué,2011,NA,Seguro,Si
Ibagué,2011,Ni satisfecho ni insatisfecho,Seguro,Si
Ibagué,2011,Algo satisfecho,Algo seguro,No
Ibagué,2011,NA,Nada seguro,No
Ibagué,2011,Ni satisfecho ni insatisfecho,Algo seguro,Si
Ibagué,2011,NA,Seguro,Si
Ibagué,2011,Algo satisfecho,Poco seguro,Si
Ibagué,2011,Algo satisfecho,Algo seguro,Si
Ibagué,2011,Ni satisfecho ni insatisfecho,Muy seguro,No
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,Algo satisfecho,Muy seguro,Si
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,Algo satisfecho,Algo seguro,Si
Ibagué,2011,Algo satisfecho,Poco seguro,No
Ibagué,2011,Ni satisfecho ni insatisfecho,Poco seguro,No
Ibagué,2011,Ni satisfecho ni insatisfecho,Muy seguro,Si
Ibagué,2011,NA,Muy seguro,No
Ibagué,2011,Algo satisfecho,Seguro,Si
Ibagué,2011,NA,Seguro,Si
Ibagué,2011,NA,Poco seguro,Si
Ibagué,2011,NA,Nada seguro,No
Ibagué,2011,Muy satisfecho,Seguro,No
Ibagué,2011,NA,Seguro,No
Ibagué,2011,NA,Seguro,No
Ibagué,2011,Muy satisfecho,Muy seguro,Si
Ibagué,2011,NA,Seguro,Si
Ibagué,2011,NA,Seguro,No
Ibagué,2011,NA,Muy seguro,Si
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,NA,Poco seguro,No
Ibagué,2011,NA,Seguro,No
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,NA,Nada seguro,No
Ibagué,2011,NA,Muy seguro,No
Ibagué,2011,Muy satisfecho,Algo seguro,Si
Ibagué,2011,NA,Nada seguro,No
Ibagué,2011,NA,Poco seguro,No
Ibagué,2011,Ni satisfecho ni insatisfecho,Algo seguro,No
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,Algo satisfecho,Seguro,No
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,NA,Muy seguro,Si
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,Muy satisfecho,Poco seguro,Si
Ibagué,2011,Algo satisfecho,Algo seguro,No
Ibagué,2011,Muy satisfecho,Seguro,No
Ibagué,2011,NA,Seguro,Si
Ibagué,2011,Algo insatisfecho,Algo seguro,No
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,Ni satisfecho ni insatisfecho,Poco seguro,Si
Ibagué,2011,NA,Nada seguro,No
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,Muy satisfecho,Seguro,Si
Ibagué,2011,Muy satisfecho,Seguro,No
Ibagué,2011,NA,Nada seguro,No
Ibagué,2011,NA,Muy seguro,Si
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,NA,Poco seguro,No
Ibagué,2011,Muy satisfecho,Algo seguro,No
Ibagué,2011,Algo satisfecho,Algo seguro,No
Ibagué,2011,NA,Poco seguro,No
Ibagué,2011,NA,Poco seguro,No
Ibagué,2011,NA,Muy seguro,Si
Ibagué,2011,Algo satisfecho,Seguro,Si
Ibagué,2011,Algo satisfecho,Seguro,Si
Ibagué,2011,Muy satisfecho,Nada seguro,No
Ibagué,2011,Algo satisfecho,Seguro,No
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,Algo satisfecho,Poco seguro,Si
Ibagué,2011,NA,Poco seguro,No
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,Muy satisfecho,Seguro,Si
Ibagué,2011,Muy satisfecho,Algo seguro,Si
Ibagué,2011,Algo satisfecho,Poco seguro,No
Ibagué,2011,NA,Poco seguro,No
Ibagué,2011,Algo insatisfecho,Nada seguro,No
Ibagué,2011,Algo satisfecho,Poco seguro,Si
Ibagué,2011,Ni satisfecho ni insatisfecho,Algo seguro,No
Ibagué,2011,NA,Nada seguro,No
Ibagué,2011,NA,Poco seguro,No
Ibagué,2011,Algo insatisfecho,Nada seguro,No
Ibagué,2011,NA,Nada seguro,Si
Ibagué,2011,NA,Seguro,No
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,Algo satisfecho,Seguro,Si
Ibagué,2011,NA,Poco seguro,No
Ibagué,2011,NA,Seguro,No
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,NA,Algo seguro,No
Ibagué,2011,NA,Algo seguro,Si
Ibagué,2011,NA,Seguro,No
Ibagué,2011,Algo satisfecho,Seguro,No
Ibagué,2011,NA,Algo seguro,No
Ibagué,2012,Algo satisfecho,Algo seguro,Si
Ibagué,2012,NA,Seguro,No
Ibagué,2012,NA,Muy seguro,Si
Ibagué,2012,Muy satisfecho,Algo seguro,Si
Ibagué,2012,NA,Algo seguro,No
Ibagué,2012,Ni satisfecho ni insatisfecho,Seguro,Si
Ibagué,2012,Ni satisfecho ni insatisfecho,Algo seguro,Si
Ibagué,2012,Ni satisfecho ni insatisfecho,Seguro,Si
Ibagué,2012,Muy satisfecho,Muy seguro,Si
Ibagué,2012,Muy satisfecho,Algo seguro,Si
Ibagué,2012,Algo insatisfecho,Seguro,No
Ibagué,2012,NA,Muy seguro,Si
Ibagué,2012,NA,Seguro,Si
Ibagué,2012,Algo satisfecho,Seguro,Si
Ibagué,2012,NA,Nada seguro,Si
Ibagué,2012,NA,Algo seguro,No
Ibagué,2012,NA,Algo seguro,Si
Ibagué,2012,NA,Nada seguro,Si
Ibagué,2012,Algo satisfecho,Algo seguro,No
Ibagué,2012,Algo satisfecho,Muy seguro,Si
Ibagué,2012,Muy satisfecho,Muy seguro,No
Ibagué,2012,NA,Nada seguro,Si
Ibagué,2012,Ni satisfecho ni insatisfecho,Nada seguro,No
Ibagué,2012,Algo satisfecho,Algo seguro,Si
Ibagué,2012,Ni satisfecho ni insatisfecho,Poco seguro,No
Ibagué,2012,Muy satisfecho,Muy seguro,Si
Ibagué,2012,NA,Algo seguro,No
Ibagué,2012,NA,Muy seguro,No
Ibagué,2012,Muy satisfecho,Algo seguro,Si
Ibagué,2012,NA,Seguro,No
Ibagué,2012,NA,Nada seguro,Si
Ibagué,2012,Algo satisfecho,Poco seguro,No
Ibagué,2012,Algo satisfecho,Poco seguro,No
Ibagué,2012,NA,Poco seguro,No
Ibagué,2012,NA,Algo seguro,No
Ibagué,2012,Algo satisfecho,Algo seguro,No
Ibagué,2012,Ni satisfecho ni insatisfecho,Algo seguro,No
Ibagué,2012,Algo satisfecho,Algo seguro,No
Ibagué,2012,Ni satisfecho ni insatisfecho,Poco seguro,No
Ibagué,2012,NA,Seguro,No
Ibagué,2012,Algo satisfecho,Algo seguro,Si
Ibagué,2012,Muy satisfecho,Algo seguro,No
Ibagué,2012,NA,Seguro,No
Ibagué,2012,Ni satisfecho ni insatisfecho,Seguro,No
Ibagué,2012,Muy satisfecho,Seguro,No
Ibagué,2012,Muy satisfecho,Algo seguro,No
Ibagué,2012,Algo satisfecho,Algo seguro,Si
Ibagué,2012,Ni satisfecho ni insatisfecho,Seguro,No
Ibagué,2012,Muy satisfecho,Algo seguro,Si
Ibagué,2012,NA,Poco seguro,Si
Ibagué,2012,NA,Seguro,No
Ibagué,2012,NA,Nada seguro,Si
Ibagué,2012,NA,Algo seguro,Si
Ibagué,2012,NA,Nada seguro,Si
Ibagué,2012,NA,Nada seguro,No
Ibagué,2012,NA,Nada seguro,Si
Ibagué,2012,NA,Algo seguro,No
Ibagué,2012,Muy satisfecho,Seguro,No
Ibagué,2012,Ni satisfecho ni insatisfecho,Algo seguro,No
Ibagué,2012,NA,Nada seguro,No
Ibagué,2012,NA,Nada seguro,Si
Ibagué,2012,NA,Seguro,Si
Ibagué,2012,Ni satisfecho ni insatisfecho,Muy seguro,No
Ibagué,2012,NA,Algo seguro,No
Ibagué,2012,NA,Algo seguro,Si
Ibagué,2012,Algo satisfecho,Algo seguro,No
Ibagué,2012,NA,Seguro,Si
Ibagué,2012,NA,Algo seguro,Si
Ibagué,2012,Ni satisfecho ni insatisfecho,Seguro,No
Ibagué,2012,Algo satisfecho,Algo seguro,No
Ibagué,2012,Ni satisfecho ni insatisfecho,Nada seguro,Si
Ibagué,2012,Ni satisfecho ni insatisfecho,Algo seguro,No
Ibagué,2012,NA,Seguro,No
Ibagué,2012,Ni satisfecho ni insatisfecho,Nada seguro,Si
Ibagué,2012,Muy satisfecho,Nada seguro,No
Ibagué,2012,Algo satisfecho,Seguro,Si
Ibagué,2012,NA,Algo seguro,No
Ibagué,2012,Muy satisfecho,Algo seguro,Si
Ibagué,2012,NA,Poco seguro,No
Ibagué,2012,Ni satisfecho ni insatisfecho,Algo seguro,No
Ibagué,2012,Ni satisfecho ni insatisfecho,Seguro,No
Ibagué,2012,NA,Poco seguro,No
Ibagué,2012,NA,Algo seguro,No
Ibagué,2012,Algo satisfecho,Algo seguro,No
Ibagué,2012,Algo satisfecho,Seguro,No
Ibagué,2012,Algo satisfecho,Algo seguro,Si
Ibagué,2012,NA,Nada seguro,No
Ibagué,2012,Algo satisfecho,Seguro,No
Ibagué,2012,NA,Algo seguro,Si
Ibagué,2012,Algo satisfecho,Algo seguro,Si
Ibagué,2012,NA,Seguro,Si
Ibagué,2012,NA,Nada seguro,No
Ibagué,2012,Ni satisfecho ni insatisfecho,Algo seguro,No
Ibagué,2012,Muy insatisfecho,Nada seguro,No
Ibagué,2012,NA,Algo seguro,No
Ibagué,2012,Algo satisfecho,Algo seguro,No
Ibagué,2012,Ni satisfecho ni insatisfecho,Nada seguro,Si
Ibagué,2012,NA,Algo seguro,No
Ibagué,2012,Muy satisfecho,Muy seguro,Si
Ibagué,2012,Muy satisfecho,Algo seguro,No
Ibagué,2012,Algo satisfecho,Algo seguro,Si
Ibagué,2012,NA,Algo seguro,Si
Ibagué,2012,NA,Algo seguro,No
Ibagué,2012,Algo satisfecho,Seguro,No
Ibagué,2012,Ni satisfecho ni insatisfecho,Seguro,Si
Ibagué,2012,Muy satisfecho,Seguro,Si
Ibagué,2012,NA,Algo seguro,Si
Ibagué,2012,NA,Seguro,No
Ibagué,2012,Algo insatisfecho,Seguro,No
Ibagué,2012,Algo satisfecho,Algo seguro,Si
Ibagué,2012,Algo satisfecho,Nada seguro,No
Ibagué,2012,Algo satisfecho,Seguro,No
Ibagué,2012,NA,Muy seguro,Si
Ibagué,2012,Muy satisfecho,Algo seguro,Si
Ibagué,2012,NA,Seguro,No
Ibagué,2012,Algo satisfecho,Algo seguro,Si
Ibagué,2012,NA,Nada seguro,No
Ibagué,2012,NA,Nada seguro,No
Ibagué,2012,Algo satisfecho,Seguro,Si
Ibagué,2012,Muy satisfecho,Algo seguro,No
Ibagué,2012,NA,Poco seguro,No
Ibagué,2012,NA,Algo seguro,Si
Ibagué,2012,NA,Algo seguro,No
Ibagué,2012,NA,Seguro,No
Ibagué,2012,NA,Algo seguro,No
Ibagué,2012,NA,Seguro,Si
Ibagué,2012,NA,Muy seguro,Si
Ibagué,2012,Algo satisfecho,Seguro,Si
Ibagué,2012,NA,Seguro,No
Ibagué,2012,Muy satisfecho,Muy seguro,Si
Ibagué,2012,Algo satisfecho,Poco seguro,No
Ibagué,2012,NA,Seguro,Si
Ibagué,2012,NA,Algo seguro,No
Ibagué,2012,Muy satisfecho,Algo seguro,No
Ibagué,2012,Algo satisfecho,Algo seguro,No
Ibagué,2012,NA,Algo seguro,Si
Ibagué,2012,NA,Algo seguro,Si
Ibagué,2012,Muy satisfecho,Seguro,Si
Ibagué,2012,NA,Algo seguro,Si
Ibagué,2012,Ni satisfecho ni insatisfecho,Algo seguro,No
Ibagué,2012,Algo satisfecho,Algo seguro,No
Ibagué,2012,Ni satisfecho ni insatisfecho,Algo seguro,No
Ibagué,2012,Algo satisfecho,Algo seguro,No
Ibagué,2012,Ni satisfecho ni insatisfecho,Algo seguro,No
Ibagué,2012,Algo satisfecho,Muy seguro,Si
Ibagué,2012,NA,Algo seguro,Si
Ibagué,2012,NA,Seguro,Si
Ibagué,2012,Muy insatisfecho,Seguro,No
Ibagué,2012,Muy satisfecho,Algo seguro,No
Ibagué,2012,Ni satisfecho ni insatisfecho,Nada seguro,Si
Ibagué,2012,Algo satisfecho,Seguro,Si
Ibagué,2012,Muy satisfecho,Algo seguro,Si
Ibagué,2012,NA,Nada seguro,No
Ibagué,2012,NA,Muy seguro,No
Ibagué,2012,Muy satisfecho,Seguro,Si
Ibagué,2012,NA,Seguro,No
Ibagué,2012,NA,Muy seguro,No
Ibagué,2012,Muy satisfecho,Algo seguro,Si
Ibagué,2012,NA,Seguro,No
Ibagué,2012,NA,Algo seguro,No
Ibagué,2012,NA,Algo seguro,No
Ibagué,2012,NA,Muy seguro,Si
Ibagué,2012,NA,Seguro,No
Ibagué,2012,Algo satisfecho,Seguro,Si
Ibagué,2012,Algo insatisfecho,Seguro,No
Ibagué,2012,NA,Algo seguro,Si
Ibagué,2012,NA,Seguro,No
Ibagué,2012,Algo satisfecho,Algo seguro,No
Ibagué,2012,NA,Poco seguro,No
Ibagué,2012,NA,Algo seguro,Si
Ibagué,2012,NA,Algo seguro,No
Ibagué,2012,Algo satisfecho,Muy seguro,No
Ibagué,2012,NA,Muy seguro,Si
Ibagué,2012,Muy satisfecho,Muy seguro,No
Ibagué,2012,NA,Seguro,No
Ibagué,2012,NA,Nada seguro,No
Ibagué,2012,NA,Algo seguro,No
Ibagué,2012,NA,Poco seguro,Si
Ibagué,2012,NA,Poco seguro,Si
Ibagué,2012,NA,Poco seguro,Si
Ibagué,2012,Algo satisfecho,Algo seguro,No
Ibagué,2012,Ni satisfecho ni insatisfecho,Algo seguro,No
Ibagué,2012,NA,Seguro,Si
Ibagué,2012,NA,Muy seguro,No
Ibagué,2012,NA,Seguro,No
Ibagué,2012,Algo satisfecho,Seguro,No
Ibagué,2012,NA,Nada seguro,No
Ibagué,2012,Muy satisfecho,Muy seguro,Si
Ibagué,2012,NA,Seguro,No
Ibagué,2012,NA,Muy seguro,No
Ibagué,2012,NA,Seguro,Si
Ibagué,2012,Muy satisfecho,Seguro,No
Ibagué,2012,NA,Muy seguro,No
Ibagué,2012,Ni satisfecho ni insatisfecho,Algo seguro,No
Ibagué,2012,Algo satisfecho,Algo seguro,No
Ibagué,2012,NA,Muy seguro,Si
Ibagué,2012,Algo insatisfecho,Seguro,No
Ibagué,2012,Muy satisfecho,Algo seguro,Si
Ibagué,2012,NA,Seguro,Si
Ibagué,2012,Muy satisfecho,Seguro,Si
Ibagué,2012,Muy satisfecho,Muy seguro,Si
Ibagué,2012,NA,Algo seguro,No
Ibagué,2012,Ni satisfecho ni insatisfecho,Poco seguro,No
Ibagué,2012,Muy satisfecho,Nada seguro,No
Ibagué,2012,Muy satisfecho,Seguro,Si
Ibagué,2012,NA,Algo seguro,Si
Ibagué,2012,NA,Algo seguro,No
Ibagué,2012,NA,Seguro,No
Ibagué,2012,Muy satisfecho,Poco seguro,Si
Ibagué,2012,NA,Algo seguro,Si
Ibagué,2012,Muy satisfecho,Poco seguro,No
Ibagué,2012,NA,Muy seguro,No
Ibagué,2012,Algo satisfecho,Algo seguro,Si
Ibagué,2012,NA,Poco seguro,No
Ibagué,2012,Ni satisfecho ni insatisfecho,Algo seguro,No
Ibagué,2012,NA,Algo seguro,Si
Ibagué,2012,NA,Seguro,No
Ibagué,2012,NA,Algo seguro,Si
Ibagué,2012,Algo satisfecho,Algo seguro,No
Ibagué,2012,Algo satisfecho,Seguro,Si
Ibagué,2012,Muy insatisfecho,Algo seguro,No
Ibagué,2012,NA,Seguro,No
Ibagué,2012,Ni satisfecho ni insatisfecho,Seguro,No
Ibagué,2012,Algo satisfecho,Algo seguro,Si
Ibagué,2012,NA,Poco seguro,No
Ibagué,2012,NA,Algo seguro,No
Ibagué,2012,NA,Poco seguro,No
Ibagué,2012,Muy satisfecho,Muy seguro,Si
Ibagué,2012,Ni satisfecho ni insatisfecho,Algo seguro,No
Ibagué,2012,Muy satisfecho,Algo seguro,Si
Ibagué,2012,NA,Algo seguro,Si
Ibagué,2012,Algo satisfecho,Seguro,No
Ibagué,2012,NA,Algo seguro,Si
Ibagué,2012,NA,Algo seguro,No
Ibagué,2012,NA,Algo seguro,Si
Ibagué,2012,Muy satisfecho,Algo seguro,No
Ibagué,2012,NA,Algo seguro,Si
Ibagué,2012,NA,Poco seguro,Si
Ibagué,2012,NA,Poco seguro,Si
Ibagué,2012,Ni satisfecho ni insatisfecho,Algo seguro,No
Ibagué,2012,NA,Algo seguro,No
Ibagué,2012,Algo satisfecho,Poco seguro,No
Ibagué,2012,NA,Algo seguro,Si
Ibagué,2012,NA,Poco seguro,No
Ibagué,2012,NA,Seguro,Si
Ibagué,2012,Ni satisfecho ni insatisfecho,Muy seguro,No
Ibagué,2012,NA,Muy seguro,Si
Ibagué,2012,NA,Seguro,No
Ibagué,2012,Algo satisfecho,Seguro,No
Ibagué,2012,Muy satisfecho,Muy seguro,No
Ibagué,2012,Muy satisfecho,Algo seguro,Si
Ibagué,2012,Algo satisfecho,Algo seguro,No
Ibagué,2012,NA,Seguro,Si
Ibagué,2012,NA,Algo seguro,No
Ibagué,2012,NA,Muy seguro,No
Ibagué,2012,NA,Algo seguro,Si
Ibagué,2012,NA,Seguro,Si
Ibagué,2012,NA,Poco seguro,No
Ibagué,2012,Muy satisfecho,Seguro,Si
Ibagué,2012,Muy insatisfecho,Muy seguro,Si
Ibagué,2012,NA,Algo seguro,No
Ibagué,2012,NA,Poco seguro,No
Ibagué,2012,NA,Poco seguro,Si
